user_id,join_date,os,country
157844,2021-12-05,Android,United States
583785,2022-06-25,iOS,Germany
152828,2021-12-04,iOS,United States
948940,2022-09-19,Android,Spain
1141021,2022-12-25,Android,Austria
535442,2022-06-03,Android,Italy
910913,2022-09-09,Android,United States
695371,2022-07-28,Android,Poland
159017,2021-12-06,Android,United States
721930,2022-08-02,Android,United States
193100,2022-01-13,iOS,United Kingdom
555820,2022-06-14,iOS,New Zealand
147685,2021-11-30,Android,United States
142698,2021-11-25,Android,United States
962808,2022-09-23,Android,Poland
423963,2022-03-28,Android,Greece
988171,2022-09-30,Android,Latvia
825011,2022-08-19,Android,United Kingdom
540100,2022-06-05,Android,Spain
99040,2021-10-03,iOS,United States
975548,2022-09-26,Android,Australia
1010959,2022-10-07,Android,United Kingdom
713784,2022-08-01,Android,United States
578833,2022-06-23,iOS,United Kingdom
164300,2021-12-09,Android,United Kingdom
817935,2022-08-18,Android,Switzerland
717638,2022-08-01,Android,United States
1008078,2022-10-07,Android,Poland
1021856,2022-10-12,iOS,Kazakhstan
867362,2022-08-28,iOS,United States
986035,2022-09-30,Android,Bahamas
1063614,2022-11-05,iOS,United States
867150,2022-08-28,iOS,Mexico
384451,2022-03-19,Android,Peru
802652,2022-08-16,Android,Argentina
639983,2022-07-14,Android,United States
147881,2021-12-01,Android,United States
941287,2022-09-17,iOS,Denmark
481089,2022-04-29,iOS,United Kingdom
489239,2022-05-04,Android,United Kingdom
448608,2022-04-12,iOS,United Kingdom
207805,2022-01-22,iOS,United States
476057,2022-04-26,Android,United Kingdom
1085949,2022-11-17,Android,Saudi Arabia
208042,2022-01-22,Android,Germany
408435,2022-03-24,Android,Chile
943046,2022-09-17,Android,United Kingdom
918692,2022-09-11,Android,New Zealand
821388,2022-08-19,Android,Italy
932914,2022-09-15,Android,Netherlands
525656,2022-05-28,Android,Italy
513568,2022-05-20,Android,Italy
519406,2022-05-24,iOS,United Kingdom
981566,2022-09-28,Android,Chile
930067,2022-09-14,Android,Germany
704270,2022-07-30,Android,Hungary
604854,2022-07-02,Android,United Kingdom
464960,2022-04-20,Android,United Kingdom
539808,2022-06-05,Android,Chile
1011637,2022-10-08,Android,United States
514382,2022-05-20,Android,United Kingdom
1042774,2022-10-23,Android,United States
84789,2021-09-26,Android,Poland
964341,2022-09-23,Android,Italy
856349,2022-08-26,Android,Netherlands
761709,2022-08-08,Android,Mexico
236796,2022-01-30,Android,United States
662188,2022-07-21,Android,United States
275533,2022-02-19,Android,Peru
657867,2022-07-20,Android,United States
620041,2022-07-07,Android,United States
525036,2022-05-28,Android,United Kingdom
854421,2022-08-25,Android,Italy
630883,2022-07-10,Android,United States
622862,2022-07-08,Android,Chile
712180,2022-07-31,Android,Austria
306716,2022-02-26,Android,Lithuania
978079,2022-09-27,Android,Austria
904895,2022-09-07,iOS,United Kingdom
792409,2022-08-14,Android,United States
724907,2022-08-03,Android,France
483366,2022-04-30,iOS,United Kingdom
213882,2022-01-24,Android,United States
539083,2022-06-05,iOS,Canada
643402,2022-07-15,Android,Germany
606317,2022-07-03,iOS,United States
871305,2022-08-29,Android,France
629984,2022-07-10,Android,United States
581116,2022-06-24,iOS,United States
711790,2022-07-31,Android,Austria
674829,2022-07-24,iOS,Australia
875691,2022-08-31,iOS,Norway
187593,2022-01-06,Android,Canada
506802,2022-05-15,Android,United Kingdom
486667,2022-05-02,Android,United Kingdom
536734,2022-06-03,Android,United Kingdom
725852,2022-08-03,iOS,Denmark
524192,2022-05-27,iOS,United Kingdom
564510,2022-06-17,Android,United Kingdom
952790,2022-09-20,Android,United States
630831,2022-07-10,iOS,United States
694179,2022-07-27,Android,Czechia
669677,2022-07-22,Android,United Kingdom
725549,2022-08-03,iOS,United Kingdom
443447,2022-04-09,Android,Chile
543252,2022-06-06,Android,United Kingdom
430684,2022-04-02,Android,Portugal
185449,2022-01-02,iOS,United States
190474,2022-01-09,iOS,United Kingdom
836614,2022-08-22,Android,South Africa
589494,2022-06-27,Android,Canada
813187,2022-08-17,Android,Latvia
396414,2022-03-21,Android,Chile
247909,2022-02-03,Android,Lithuania
936711,2022-09-16,Android,United States
176997,2021-12-20,iOS,United States
923354,2022-09-12,Android,Georgia
634410,2022-07-12,Android,United States
496110,2022-05-08,iOS,United Kingdom
868972,2022-08-29,Android,Iraq
781132,2022-08-12,iOS,United Kingdom
505874,2022-05-14,iOS,United Kingdom
251605,2022-02-04,Android,Lithuania
915054,2022-09-10,Android,Italy
174328,2021-12-17,iOS,United States
487068,2022-05-02,Android,Spain
1006250,2022-10-06,Android,United States
579051,2022-06-23,iOS,Germany
809975,2022-08-17,Android,Norway
601662,2022-07-01,iOS,Denmark
147191,2021-11-30,Android,Romania
541072,2022-06-05,Android,United Kingdom
637798,2022-07-13,Android,France
124585,2021-11-06,Android,Germany
792224,2022-08-14,Android,Canada
644250,2022-07-15,Android,South Africa
473367,2022-04-24,iOS,United Kingdom
540459,2022-06-05,Android,Spain
607570,2022-07-03,Android,Netherlands
213195,2022-01-24,Android,United Kingdom
741163,2022-08-05,Android,United States
514456,2022-05-20,Android,United Kingdom
447736,2022-04-11,Android,United Kingdom
837051,2022-08-22,Android,Italy
641446,2022-07-14,Android,Germany
512631,2022-05-19,Android,United Kingdom
134107,2021-11-18,iOS,United Kingdom
227885,2022-01-28,Android,Croatia
889047,2022-09-03,iOS,Italy
985176,2022-09-29,Android,India
607704,2022-07-03,iOS,United States
212020,2022-01-24,iOS,United States
744469,2022-08-06,Android,Poland
418120,2022-03-27,Android,Chile
657287,2022-07-20,iOS,United States
677539,2022-07-24,iOS,Germany
610613,2022-07-04,Android,Puerto Rico
967062,2022-09-24,Android,Germany
609720,2022-07-04,iOS,United States
657722,2022-07-20,iOS,Australia
630442,2022-07-10,Android,Italy
632588,2022-07-11,iOS,United States
782790,2022-08-12,Android,Italy
604877,2022-07-02,iOS,U.S. Virgin Islands
526550,2022-05-29,iOS,Turkey
179986,2021-12-25,Android,United States
800018,2022-08-15,iOS,France
697802,2022-07-28,Android,Italy
427591,2022-03-30,Android,Spain
265083,2022-02-11,Android,Lithuania
1031643,2022-10-17,iOS,Germany
607097,2022-07-03,Android,Sweden
625358,2022-07-08,Android,Germany
946641,2022-09-18,Android,Aruba
334038,2022-03-05,Android,Chile
604794,2022-07-02,Android,United States
825691,2022-08-20,Android,Germany
749779,2022-08-07,Android,France
174070,2021-12-17,iOS,United Kingdom
780129,2022-08-12,Android,Norway
486807,2022-05-02,Android,United Kingdom
141430,2021-11-25,Android,United States
798739,2022-08-15,Android,Hungary
998710,2022-10-04,Android,United States
558699,2022-06-15,Android,Netherlands
466650,2022-04-21,iOS,United Kingdom
842726,2022-08-23,iOS,Spain
530154,2022-05-31,Android,Spain
921032,2022-09-11,Android,Estonia
1122557,2022-12-10,iOS,United Kingdom
138932,2021-11-22,iOS,United Kingdom
671150,2022-07-23,iOS,Germany
536757,2022-06-03,Android,United Kingdom
1106852,2022-11-30,Android,France
731962,2022-08-04,Android,Germany
459673,2022-04-17,iOS,United Kingdom
1075769,2022-11-10,Android,India
522014,2022-05-26,Android,Chile
149377,2021-12-02,Android,United States
597405,2022-06-29,Android,United States
984276,2022-09-29,Android,United States
627352,2022-07-09,iOS,United States
639924,2022-07-14,Android,Belgium
757945,2022-08-07,Android,United States
191943,2022-01-11,iOS,United Kingdom
1030624,2022-10-16,Android,Hungary
477735,2022-04-27,Android,United Kingdom
641788,2022-07-14,Android,Hungary
892545,2022-09-04,Android,Brazil
212806,2022-01-24,iOS,United States
586188,2022-06-26,iOS,Norway
901024,2022-09-06,Android,Austria
677561,2022-07-24,iOS,United Kingdom
859386,2022-08-26,Android,United States
625915,2022-07-09,Android,United States
209168,2022-01-23,Android,United States
904894,2022-09-07,Android,United States
994673,2022-10-02,Android,United States
471279,2022-04-24,iOS,United Kingdom
645959,2022-07-16,Android,Hungary
850565,2022-08-25,Android,United States
151852,2021-12-03,Android,United Kingdom
1051732,2022-10-29,Android,New Zealand
579805,2022-06-24,Android,Germany
802457,2022-08-16,iOS,Chile
1054450,2022-10-31,Android,United States
623811,2022-07-08,iOS,United States
146299,2021-11-29,Android,United Kingdom
828433,2022-08-20,Android,Slovenia
1019008,2022-10-11,Android,United States
551312,2022-06-11,Android,United Kingdom
1033170,2022-10-18,iOS,Italy
600516,2022-07-01,Android,United States
375729,2022-03-14,Android,Chile
773731,2022-08-10,iOS,Germany
632196,2022-07-11,Android,United States
490279,2022-05-05,Android,Spain
227569,2022-01-28,iOS,United Kingdom
466773,2022-04-21,Android,United Kingdom
514040,2022-05-20,Android,United Kingdom
141707,2021-11-25,iOS,United Kingdom
209789,2022-01-23,iOS,United States
1019135,2022-10-11,Android,Poland
175945,2021-12-19,Android,United States
187157,2022-01-05,iOS,United States
826653,2022-08-20,iOS,Malaysia
441652,2022-04-08,Android,United Kingdom
685217,2022-07-26,Android,United States
592175,2022-06-28,iOS,Germany
646700,2022-07-16,iOS,Germany
929475,2022-09-14,Android,United States
803915,2022-08-16,Android,France
644883,2022-07-15,Android,United States
970722,2022-09-25,iOS,Slovakia
489532,2022-05-04,Android,United Kingdom
509561,2022-05-17,Android,Canada
204178,2022-01-21,iOS,United Kingdom
830283,2022-08-21,Android,United States
639326,2022-07-13,Android,United States
251691,2022-02-04,Android,Romania
598765,2022-06-30,iOS,Australia
237697,2022-01-30,iOS,United Kingdom
962436,2022-09-22,iOS,France
647460,2022-07-16,Android,Germany
772949,2022-08-10,Android,United States
460741,2022-04-18,Android,United Kingdom
554861,2022-06-13,iOS,United Kingdom
1097128,2022-11-24,Android,United States
828751,2022-08-20,Android,Kazakhstan
611079,2022-07-04,Android,United States
784171,2022-08-12,Android,United Kingdom
1020945,2022-10-12,Android,Brazil
501402,2022-05-12,iOS,Canada
551513,2022-06-11,Android,United Kingdom
830875,2022-08-21,iOS,Germany
506882,2022-05-15,Android,Spain
204462,2022-01-21,iOS,United Kingdom
467977,2022-04-22,iOS,United Kingdom
642448,2022-07-15,Android,Brazil
855426,2022-08-26,Android,United States
221610,2022-01-27,Android,Croatia
764785,2022-08-09,Android,France
237347,2022-01-30,iOS,United Kingdom
847585,2022-08-24,Android,France
465773,2022-04-20,iOS,United Kingdom
544967,2022-06-07,iOS,United Kingdom
746588,2022-08-06,iOS,United States
500853,2022-05-11,Android,United Kingdom
1009389,2022-10-07,Android,India
539233,2022-06-05,Android,Chile
605229,2022-07-02,iOS,Tanzania
444897,2022-04-10,iOS,United Kingdom
875356,2022-08-31,Android,Brazil
474396,2022-04-25,iOS,United Kingdom
631369,2022-07-10,iOS,United States
444681,2022-04-10,Android,Spain
154526,2021-12-04,Android,United Kingdom
658151,2022-07-20,Android,Poland
1025433,2022-10-14,Android,India
623546,2022-07-08,Android,Switzerland
443613,2022-04-10,Android,Spain
244198,2022-02-01,Android,Croatia
962799,2022-09-23,Android,United States
1059006,2022-11-02,iOS,Brazil
897236,2022-09-05,iOS,France
533967,2022-06-02,iOS,Spain
710972,2022-07-31,Android,Poland
501393,2022-05-12,Android,United Kingdom
600154,2022-06-30,Android,United States
820393,2022-08-19,iOS,Canada
890212,2022-09-04,Android,Spain
270632,2022-02-15,Android,Lithuania
777989,2022-08-11,Android,Netherlands
671219,2022-07-23,Android,Brazil
906919,2022-09-08,iOS,Germany
740835,2022-08-05,iOS,Poland
465272,2022-04-20,Android,United Kingdom
504310,2022-05-14,iOS,Canada
708543,2022-07-31,Android,United States
634580,2022-07-12,Android,United Kingdom
481421,2022-04-29,iOS,Lithuania
548379,2022-06-09,iOS,United Kingdom
160213,2021-12-07,iOS,United Kingdom
264840,2022-02-11,Android,United Kingdom
444752,2022-04-10,iOS,United Kingdom
912663,2022-09-09,Android,Poland
689818,2022-07-27,Android,Peru
571864,2022-06-20,iOS,United Kingdom
469343,2022-04-23,iOS,United Kingdom
487641,2022-05-03,Android,Chile
513346,2022-05-20,Android,United Kingdom
887094,2022-09-03,Android,South Africa
617444,2022-07-06,iOS,Israel
506101,2022-05-15,iOS,United Kingdom
546074,2022-06-08,iOS,United Kingdom
195901,2022-01-16,Android,United States
833425,2022-08-21,Android,Argentina
707086,2022-07-30,iOS,Israel
960710,2022-09-22,Android,Netherlands
838999,2022-08-22,Android,Egypt
514003,2022-05-20,Android,Spain
894991,2022-09-05,iOS,United Kingdom
669835,2022-07-23,Android,United States
476389,2022-04-26,Android,Spain
528706,2022-05-30,iOS,United Kingdom
1056012,2022-11-01,Android,Germany
1036745,2022-10-20,Android,Brazil
739893,2022-08-05,iOS,United States
1061015,2022-11-04,Android,United States
631906,2022-07-11,iOS,United States
614180,2022-07-05,iOS,Austria
176964,2021-12-20,Android,United States
145998,2021-11-29,Android,United States
736561,2022-08-05,iOS,Denmark
142942,2021-11-26,Android,United States
543055,2022-06-06,iOS,United Kingdom
665987,2022-07-22,Android,Sweden
211380,2022-01-23,iOS,United States
607460,2022-07-03,iOS,Australia
1119347,2022-12-08,Android,Côte d’Ivoire
635057,2022-07-12,Android,United States
137776,2021-11-21,Android,United States
956254,2022-09-21,Android,United Kingdom
1135687,2022-12-22,Android,India
518402,2022-05-23,Android,United Kingdom
577202,2022-06-22,iOS,United States
602843,2022-07-01,Android,United States
964874,2022-09-23,Android,Puerto Rico
1103173,2022-11-27,Android,Hungary
450248,2022-04-13,iOS,United Kingdom
649392,2022-07-17,Android,Denmark
641621,2022-07-14,Android,United States
873972,2022-08-30,Android,Canada
675515,2022-07-24,Android,United States
576088,2022-06-22,Android,United States
745088,2022-08-06,Android,France
227983,2022-01-28,iOS,United Kingdom
983571,2022-09-29,Android,Peru
773880,2022-08-10,Android,United States
463828,2022-04-19,Android,United Kingdom
659842,2022-07-20,Android,Germany
499167,2022-05-10,iOS,United Kingdom
1013430,2022-10-08,Android,United States
1058857,2022-11-02,iOS,Cyprus
448049,2022-04-12,iOS,United Kingdom
535323,2022-06-03,Android,United Kingdom
689681,2022-07-27,Android,France
465545,2022-04-20,Android,United Kingdom
726169,2022-08-03,Android,Brazil
460394,2022-04-17,iOS,United Kingdom
987933,2022-09-30,Android,Spain
479430,2022-04-28,Android,United Kingdom
762014,2022-08-08,Android,Australia
923893,2022-09-12,Android,Bahamas
237065,2022-01-30,Android,United States
143874,2021-11-27,Android,United States
706716,2022-07-30,Android,Greece
1036797,2022-10-20,Android,Turkey
548827,2022-06-09,iOS,United Kingdom
744248,2022-08-06,Android,Israel
178172,2021-12-22,iOS,United States
725983,2022-08-03,iOS,United States
430983,2022-04-03,Android,United Kingdom
566063,2022-06-18,Android,United States
540865,2022-06-05,iOS,United Kingdom
575993,2022-06-22,Android,Germany
437274,2022-04-06,Android,United Kingdom
906991,2022-09-08,Android,Czechia
627376,2022-07-09,Android,Canada
566525,2022-06-18,iOS,United States
959925,2022-09-22,Android,Colombia
850111,2022-08-25,Android,United States
944833,2022-09-18,iOS,United Kingdom
860388,2022-08-27,Android,Spain
582688,2022-06-25,iOS,Denmark
478402,2022-04-27,iOS,United Kingdom
513606,2022-05-20,Android,United Kingdom
840695,2022-08-23,iOS,Italy
741360,2022-08-05,Android,Italy
722980,2022-08-03,Android,United States
1002607,2022-10-05,iOS,United States
554593,2022-06-13,iOS,United Kingdom
883101,2022-09-02,Android,Italy
926441,2022-09-13,Android,Cyprus
707561,2022-07-30,iOS,United Kingdom
647272,2022-07-16,iOS,Denmark
818525,2022-08-18,Android,Poland
596154,2022-06-29,iOS,Denmark
722546,2022-08-02,iOS,Haiti
594937,2022-06-29,iOS,Germany
739613,2022-08-05,Android,India
