id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,25,2023-12-11,0.23,1,317,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,139,3,123,2024-04-24,0.66,10,112,5,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,179,3,128,2024-04-16,0.71,10,79,4,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,92,91,29,2024-05-15,0.24,8,101,3,
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,130,91,9,2019-07-22,0.09,13,364,0,
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,130,32,5,2023-11-19,0.08,13,332,1,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,130,32,1,2024-01-05,0.18,13,355,1,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,143,30,52,2023-08-19,0.30,29,274,1,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,101,2023-09-13,0.59,1,0,1,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,29,99,2024-05-05,0.59,1,113,5,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,139,2024-06-18,0.83,1,55,3,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,100,1,333,2023-11-05,1.98,8,348,1,STR-492781
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,145,2024-02-29,0.88,5,139,2,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,105,32,19,2020-09-08,0.15,8,293,0,
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,,91,49,2024-05-31,0.35,8,30,1,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,118,2019-11-15,0.74,5,92,0,STR-415714
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.46,1,294,6,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,100,1,300,2024-01-12,1.85,8,347,1,STR-492781
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,275,3,275,2024-05-27,1.76,10,79,14,STR-446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,110,2024-01-01,0.71,8,73,1,STR-457920
179245,Private Room & private bath in Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,65,2023-12-29,0.42,8,0,1,Exempt: This listing is a hotel or motel
184893,City Oasis/sleeps 4 near historical sites,887148,Dawn,,Charlestown,42.37823,-71.06778,Entire home/apt,264,91,0,,,3,90,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,65,30,59,2024-03-31,0.38,1,92,4,
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,142,3,502,2024-06-18,3.25,2,64,41,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,101,1,217,2024-05-19,1.39,8,158,2,STR-457920
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,141,3,299,2024-06-05,1.92,1,124,28,STR-545902
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,195,3,330,2024-06-14,2.13,1,21,22,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,314,2,479,2024-06-14,3.30,1,187,39,STR-411297
297994,Your cozy stay in South Boston,1536237,Albert,,South Boston,42.33583,-71.05271,Entire home/apt,190,3,55,2024-05-30,0.37,1,29,14,STR-564151
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,,1,120,2022-10-24,0.80,8,244,0,STR-457920
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,50,1,81,2024-06-16,0.56,8,299,35,STR-492781
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,75,5,402,2024-06-11,2.75,1,171,27,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,,91,16,2016-06-26,0.12,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,,180,8,2013-07-01,0.06,1,0,0,
530983,14P · The Grand View Redline | 5BR 2BA,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,270,30,65,2019-10-29,0.46,29,77,0,
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,135,30,62,2023-09-19,0.50,29,259,2,
579605,230B3  · The Mayhew w/Central AC and Laundry! | 2B,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,145,30,58,2023-08-14,0.40,29,172,1,
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,,91,11,2017-07-05,0.08,1,0,0,
601763,The Alameda 2 w/AC | 2BR 1BA | Short walk shops!,71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,135,30,43,2022-12-31,0.49,29,285,0,
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,221,2,112,2024-06-06,1.18,3,278,33,STR-416892
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.377338,-71.063095,Entire home/apt,175,3,184,2024-06-15,1.27,1,3,15,STR-529113
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,,1,8,2022-05-30,0.08,1,173,0,STR-398090
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37826919555664,-71.06332397460938,Entire home/apt,218,2,458,2024-06-17,3.22,1,190,37,STR-401905
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30702,-71.11283,Entire home/apt,,3,80,2024-06-02,0.58,2,304,10,STR-454183
750438,Private room/bath 7 min to subway verdant/peaceful,3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,93,2,278,2024-06-17,2.07,1,321,27,STR-523680
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,1.33,1,365,0,STR-397984
